"t1","t2","t3","t4","CF12_34","CF13_24","CF14_23","ngenes"
"BsaATCC15712","Ddi453","GCDA","Pae1",0.8308157099697885,0.09063444108761329,0.07854984894259819,331
"BsaATCC15712","Ddi453","GCDA","PcaPC1",0.10135135135135136,0.07094594594594594,0.8277027027027027,296
"BsaATCC15712","Ddi453","GCDA","PcaPCC21",0.11267605633802817,0.06690140845070422,0.8204225352112676,284
"BsaATCC15712","Ddi453","GCDA","PectoSCC3193",0.08695652173913043,0.0802675585284281,0.8327759197324415,299
"BsaATCC15712","Ddi453","GCDA","PstDC3000",0.8419452887537994,0.0911854103343465,0.0668693009118541,329
"BsaATCC15712","Ddi453","GCDA","Pwa43316",0.0967741935483871,0.06093189964157706,0.8422939068100358,279
"BsaATCC15712","Ddi453","GCDA","SCRI1043",0.09180327868852459,0.05901639344262295,0.8491803278688524,305
"BsaATCC15712","Ddi453","GCDA","VFI114",0.868020304568528,0.07106598984771574,0.06091370558375635,394
"BsaATCC15712","Ddi453","GCDA","VchN16961",0.8455696202531645,0.0810126582278481,0.07341772151898734,395
"BsaATCC15712","Ddi453","GCDA","WPP1692",0.1111111111111111,0.0707070707070707,0.8181818181818182,297
"BsaATCC15712","Ddi453","Pae1","PcaPC1",0.11242603550295859,0.07692307692307693,0.8106508875739645,169
"BsaATCC15712","Ddi453","Pae1","PcaPCC21",0.08571428571428572,0.08571428571428572,0.8285714285714286,175
"BsaATCC15712","Ddi453","Pae1","PectoSCC3193",0.10869565217391304,0.08152173913043478,0.8097826086956522,184
"BsaATCC15712","Ddi453","Pae1","PstDC3000",0.991869918699187,0.008130081300813009,0.0,246
"BsaATCC15712","Ddi453","Pae1","Pwa43316",0.08620689655172414,0.09195402298850575,0.8218390804597702,174
"BsaATCC15712","Ddi453","Pae1","SCRI1043",0.0851063829787234,0.06914893617021277,0.8457446808510638,188
"BsaATCC15712","Ddi453","Pae1","VFI114",0.9404255319148936,0.02127659574468085,0.03829787234042553,235
"BsaATCC15712","Ddi453","Pae1","VchN16961",0.9352226720647774,0.024291497975708502,0.04048582995951417,247
"BsaATCC15712","Ddi453","Pae1","WPP1692",0.10344827586206896,0.10344827586206896,0.7931034482758621,174
"BsaATCC15712","Ddi453","PcaPC1","PcaPCC21",0.94,0.013333333333333334,0.04666666666666667,150
"BsaATCC15712","Ddi453","PcaPC1","PectoSCC3193",0.9390243902439024,0.018292682926829267,0.042682926829268296,164
"BsaATCC15712","Ddi453","PcaPC1","PstDC3000",0.10975609756097561,0.8353658536585366,0.054878048780487805,164
"BsaATCC15712","Ddi453","PcaPC1","Pwa43316",0.9166666666666666,0.030303030303030304,0.05303030303030303,132
"BsaATCC15712","Ddi453","PcaPC1","SCRI1043",0.9387755102040817,0.034013605442176874,0.027210884353741496,147
"BsaATCC15712","Ddi453","PcaPC1","VFI114",0.12807881773399016,0.8325123152709359,0.03940886699507389,203
"BsaATCC15712","Ddi453","PcaPC1","VchN16961",0.09223300970873786,0.8398058252427184,0.06796116504854369,206
"BsaATCC15712","Ddi453","PcaPC1","WPP1692",0.9402985074626866,0.022388059701492536,0.03731343283582089,134
"BsaATCC15712","Ddi453","PcaPCC21","PectoSCC3193",0.9407407407407408,0.02962962962962963,0.02962962962962963,135
