"t1","t2","t3","t4","CF12_34","CF13_24","CF14_23"
"10","12","5","14",0.9009567212582934,0.04952163937085331,0.04952163937085331
"10","12","2","14",0.9009567212582934,0.04952163937085331,0.04952163937085331
"10","12","7","15",0.18583853627333657,0.6915349833361828,0.12262648039048077
"10","12","11","5",0.12262648039048077,0.18583853627333657,0.6915349833361828
"10","12","15","14",0.9154796921668414,0.04226015391657928,0.04226015391657928
"10","12","7","8",0.20134148013565853,0.11487500845931979,0.6837835114050218
"10","12","7","1",0.18583853627333657,0.6915349833361828,0.12262648039048077
"10","12","4","5",0.9974376858354158,0.0012811570822920855,0.0012811570822920855
"10","12","3","6",0.9822637160020834,0.008868141998958298,0.008868141998958298
"10","11","7","9",0.20704469446024176,0.11202340129702816,0.6809319042427302
"10","11","7","1",0.20134148013565853,0.6837835114050218,0.11487500845931979
"10","11","7","4",0.20134148013565853,0.6837835114050218,0.11487500845931979
"10","11","8","14",0.13157823275520963,0.8233100061659195,0.045111761078870896
"10","11","7","15",0.20134148013565853,0.6837835114050218,0.11487500845931979
"10","12","13","6",0.05286323301003188,0.05286323301003188,0.8942735339799363
"10","12","1","14",0.9154796921668414,0.04226015391657928,0.04226015391657928
"10","12","4","3",0.9828659629350254,0.008567018532487322,0.008567018532487322
"10","11","7","13",0.11607528889288768,0.8310614780970805,0.05286323301003189
"10","12","11","4",0.12262648039048077,0.18583853627333657,0.6915349833361828
"10","12","1","6",0.9490410430561655,0.025479478471917255,0.025479478471917255
"10","11","8","13",0.09041082443226305,0.8823904070183297,0.02719876854940726
"10","12","11","7",0.05286323301003189,0.11607528889288768,0.8310614780970805
"10","12","11","6",0.12262648039048077,0.18583853627333657,0.6915349833361828
"10","12","8","9",0.7780512927045524,0.11097435364772382,0.11097435364772382
"10","11","7","14",0.20134148013565853,0.6837835114050218,0.11487500845931979
"10","12","13","2",0.05286323301003188,0.05286323301003188,0.8942735339799363
"10","12","5","15",0.9490410430561655,0.025479478471917255,0.025479478471917255
"10","12","4","9",0.11607528889288768,0.05286323301003189,0.8310614780970805
"10","12","7","4",0.18583853627333657,0.6915349833361828,0.12262648039048077
"10","12","11","2",0.12262648039048077,0.18583853627333657,0.6915349833361828
"10","12","6","14",0.9009567212582934,0.04952163937085331,0.04952163937085331
"10","12","13","1",0.05286323301003188,0.05286323301003188,0.8942735339799363
"10","12","7","14",0.18583853627333657,0.6915349833361828,0.12262648039048077
"10","12","4","14",0.9009567212582934,0.04952163937085331,0.04952163937085331
"10","11","7","2",0.20134148013565853,0.6837835114050218,0.11487500845931979
"10","12","8","13",0.017757339705668337,0.9644853205886633,0.017757339705668337
"10","12","5","1",0.9490410430561655,0.025479478471917255,0.025479478471917255
"10","11","7","8",0.20704469446024176,0.11202340129702816,0.6809319042427302
"10","12","11","1",0.12262648039048077,0.18583853627333657,0.6915349833361828
"10","11","8","1",0.13157823275520963,0.8233100061659195,0.045111761078870896
"10","12","8","3",0.11607528889288768,0.8310614780970805,0.05286323301003189
"10","12","11","3",0.12262648039048077,0.18583853627333657,0.6915349833361828
"10","12","3","15",0.9490410430561655,0.025479478471917255,0.025479478471917255
"10","11","7","5",0.20134148013565853,0.6837835114050218,0.11487500845931979
"10","12","4","13",0.05286323301003188,0.8942735339799363,0.05286323301003188
"10","11","8","5",0.13157823275520963,0.8233100061659195,0.045111761078870896
"10","12","3","14",0.9009567212582934,0.04952163937085331,0.04952163937085331
"10","11","7","3",0.20134148013565853,0.6837835114050218,0.11487500845931979
"10","12","2","15",0.9490410430561655,0.025479478471917255,0.025479478471917255
"10","12","11","9",0.02719876854940726,0.09041082443226305,0.8823904070183297
"10","12","8","6",0.11607528889288768,0.8310614780970805,0.05286323301003189
"10","11","4","5",0.9975012916059116,0.0012493541970441725,0.0012493541970441725
"10","12","8","4",0.11607528889288768,0.8310614780970805,0.05286323301003189
"10","11","8","2",0.13157823275520963,0.8233100061659195,0.045111761078870896
"10","11","8","15",0.13157823275520963,0.8233100061659195,0.045111761078870896
